"gene","pval","effect","fdr"
"EGLN1","5.93988362844845e-15","0.00772155380575684",2.48109092645657e-14
"EHBP1L1","1.08332764084178e-14","-0.00884720798942717",4.44278849409067e-14
"EHD1","1.21621775943732e-21","-0.0214425263199935",9.92102274918635e-21
"EHD2","2.32740050627509e-32","-0.0486652347747221",8.42293190685153e-31
"EHD3","4.39734204849602e-35","-0.0382637568044999",2.24472739622963e-33
"EHD4","1.69471202997764e-28","-0.0235554628710651",3.34766028080512e-27
"EHF","6.40543281351055e-10","-0.0162587952282478",1.71477485117965e-09
"EHHADH","6.61427743637748e-14","-0.0107832122189165",2.54672000220028e-13
"EHMT1","0.740139430565383","-0.000331993463914937",0.767355674725136
"EI24","0.00158813460058231","0.00465033269133486",0.00235452728386546
"EIF1","5.79141576048466e-29","0.0209675432692472",1.21319527993392e-27
"EIF1AD","0.20221600717402","-0.00149879708461148",0.232905005769008
"EIF1AX","5.81156922256683e-08","0.00762412552613878",1.30780533386719e-07
"EIF1AY","1.98523406769772e-09","0.0144439097072743",5.07506199857675e-09
"EIF1B","1.62317164726703e-23","0.0169065084245562",1.61966479494269e-22
"EIF2A","2.24606559067517e-23","0.0113072391455228",2.2004636529251e-22
"EIF2AK1","2.45259064079257e-15","-0.0151564512111225",1.06862877920248e-14
"EIF2AK2","6.53186380012833e-16","0.00655945665418967",3.02977269236943e-15
"EIF2AK3","0.514672670172549","-0.000988020566417669",0.551703164014539
"EIF2AK4","0.706907366603963","0.000307232756241838",0.736444097603849
"EIF2B1","0.988493933107389","-1.24220825453158e-05",0.989922835024116
"EIF2B2","1.17598982102413e-05","0.00570900446122474",2.15500729204426e-05
"EIF2B3","0.675875542256501","-0.000312591247601079",0.707764725150702
"EIF2B4","9.64120307468418e-07","-0.00446096762652287",1.95178519351621e-06
"EIF2B5","0.483798570854352","-0.000632801415241135",0.521431530027376
"EIF2S1","6.83252541470161e-08","0.00562186163208028",1.52939450720496e-07
"EIF2S2","5.28599437348962e-07","0.00509967276907358",1.09361901511254e-06
"EIF2S3","0.000597315193988514","0.00421982630039924",0.000923980871849218
"EIF3A","1.04342364363673e-09","0.00627586255139412",2.73814012977074e-09
"EIF3B","3.8641346969999e-23","-0.0149993197289773",3.66356230950166e-22
"EIF3G","1.96008383338284e-14","0.00864146942309607",7.8752498342917e-14
"EIF3I","5.81920896730369e-05","-0.00514268650789684",0.000100196179254178
"EIF3J","6.79591098690627e-19","0.0104200442882344",4.15072674193979e-18
"EIF3K","0.000202012420159745","0.00476397470485534",0.000328634428569166
"EIF3M","0.0568544479104603","0.0020700259393881",0.0706510301452344
"EIF4A1","1.70725787327491e-10","0.00786161633914834",4.81637408751988e-10
"EIF4A2","0.055238612863527","-0.00190447782358355",0.068775263949082
